station,date,latitude,longitude,elevation,name,actual_mean,temp_attributes,dewp,dewp_attributes,slp,slp_attributes,stp,stp_attributes,visib,visib_attributes,wdsp,wdsp_attributes,mxspd,gust,actual_high,max_attributes,actual_low,min_attributes,prcp,prcp_attributes,sndp,fog,rain,snow,hail,thunder,tornado,year,year_2,month,day,day_of_year,precip,actual_precip_ytd
72565003017,1995-04-21,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.5,24,34,24,1008.8,24,828.6,24,5.6,23,8.7,24,13,999.9,48,NA,27,NA,0.12,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,21,2000-04-21,0.12,0.79
72565003017,1995-04-22,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",36,24,29.4,24,1022.3,24,839.9,24,9.9,24,8,24,15,999.9,42.1,NA,30.9,NA,0.01,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,22,2000-04-22,0.01,0.8
72565003017,1995-04-23,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",33.9,24,26,24,1021.7,24,839,24,9.4,24,6.5,24,15.9,999.9,46.9,*,21.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,23,2000-04-23,0,0.8
72565003017,1995-04-24,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",38.8,24,29.4,24,1018.4,24,837.1,24,8.4,24,6.3,24,12,999.9,54,*,21.9,NA,0.02,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,24,2000-04-24,0.02,0.82
72565003017,1995-04-25,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",48.2,24,25.4,24,1008.4,24,830.7,24,9.9,24,9.2,24,14,999.9,57.9,NA,30.9,NA,0,D,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,25,2000-04-25,0,0.82
72565003017,1995-04-26,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.9,24,27.9,24,1014.7,24,833.5,24,5.9,24,11.8,24,22,24.9,59,NA,27,NA,0.56,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,26,2000-04-26,0.56,1.3800000000000001
72565003017,1995-04-27,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",40,24,30.2,24,1017.8,24,836.5,24,9.6,24,4.2,24,8,999.9,59,*,27,NA,0.01,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,27,2000-04-27,0.01,1.3900000000000001
72565003017,1995-04-28,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",48.8,24,39.5,24,1006.6,24,829.6,24,9.2,24,7.8,24,15,999.9,61,NA,29.8,NA,0,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,28,2000-04-28,0,1.3900000000000001
72565003017,1995-04-29,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",42.4,24,39.7,24,1011.5,24,832.3,24,7,24,9.1,24,32.8,999.9,59,NA,37.9,NA,0.42,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,29,2000-04-29,0.42,1.81
72565003017,1995-04-30,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.1,24,40.2,24,1009.6,24,830.7,24,7.8,24,7.6,24,15.9,19.8,52,*,37.9,NA,0.39,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,Apr,30,2000-04-30,0.39,2.2
72565003017,1995-05-01,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",39.5,24,31.5,24,1017.8,24,837.3,24,9.9,24,7,24,13,999.9,52,NA,30,NA,0.21,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,1,2000-05-01,0.21,2.41
72565003017,1995-05-02,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.1,24,36.9,24,1006.9,24,828.4,24,8.9,24,8.8,24,14,999.9,55,*,30,NA,0,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,2,2000-05-02,0,2.41
72565003017,1995-05-03,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",45.4,24,41.6,24,1007.6,24,828.6,24,6.7,24,8.4,24,15,999.9,55.9,NA,35.1,NA,0.08,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,3,2000-05-03,0.08,2.49
72565003017,1995-05-04,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",46.1,24,36.4,24,1017.2,24,837.6,24,9.8,24,7.5,24,12,15.9,62.1,*,34,NA,0.07,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,4,2000-05-04,0.07,2.56
72565003017,1995-05-05,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",51.5,24,41.4,24,1011.6,24,834.2,24,9.9,24,17.4,24,32.1,37.9,63,NA,34,NA,0,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,5,2000-05-05,0,2.56
72565003017,1995-05-06,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",51.7,24,34.6,24,1003,24,827.2,24,9.9,24,13.6,24,24.1,28,64,*,43,NA,0.01,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,6,2000-05-06,0.01,2.57
72565003017,1995-05-07,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",51.1,24,33.5,24,1001.1,24,825.7,24,9.7,24,8.6,24,23.9,28,64,NA,39.9,*,0,G,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,7,2000-05-07,0,2.57
72565003017,1995-05-08,39.84657,-104.65623,1647.2,"DENVER INTERNATIONAL AIRPORT, CO US",44.2,24,38.4,24,997.5,24,820.8,24,9.3,24,12,24,26,33.8,57.9,NA,37,NA,0.39,C,999.9,NA,NA,NA,NA,NA,NA,1995,1995,May,8,2000-05-08,0.39,2.96
